Date,All,SDK,Builder
2011-07-10,11,0,0
2011-07-11,17,3,1
2011-07-12,30,5,5
2011-07-13,15,2,0
2011-07-14,11,3,2
2011-07-15,15,5,2
2011-07-16,10,2,0
2011-07-17,13,1,1
2011-07-18,8,1,1
2011-07-19,14,3,2
2011-07-20,6,1,1
2011-07-21,10,2,1
2011-07-22,8,0,0
2011-07-23,8,1,1
2011-07-24,8,3,2
2011-07-25,13,4,3
2011-07-26,9,3,1
2011-07-27,11,1,1
2011-07-28,12,5,2
2011-07-29,12,3,1
2011-07-30,6,1,1
2011-07-31,7,2,0
2011-08-01,8,2,0
2011-08-02,16,3,2
2011-08-03,9,1,1
2011-08-04,8,3,3
2011-08-05,11,4,2
2011-08-06,5,0,0
2011-08-07,7,6,5
2011-08-08,9,3,2
2011-08-09,8,1,1
2011-08-10,12,4,3
2011-08-11,10,4,3
2011-08-12,9,1,1
2011-08-13,8,2,1
2011-08-14,6,2,1
2011-08-15,6,0,0
2011-08-16,8,1,0
2011-08-17,13,1,1
2011-08-18,14,3,0
2011-08-19,13,4,1
2011-08-20,8,2,1
2011-08-21,13,2,1
2011-08-22,8,2,2
2011-08-23,15,9,7
2011-08-24,10,3,3
2011-08-25,12,3,2
2011-08-26,7,1,1
2011-08-27,13,5,5
2011-08-28,5,0,0
2011-08-29,7,2,1
2011-08-30,7,1,1
2011-08-31,8,3,2
2011-09-01,5,2,1
2011-09-02,10,4,2
2011-09-03,10,4,2
2011-09-04,4,2,1
2011-09-05,10,2,1
2011-09-06,11,5,1
2011-09-07,5,0,0
2011-09-08,9,1,1
2011-09-09,10,3,2
2011-09-10,7,5,3
2011-09-11,7,0,0
2011-09-12,12,0,0
2011-09-13,11,1,1
2011-09-14,8,1,1
2011-09-15,7,3,2
2011-09-16,4,1,1
2011-09-17,2,2,1
2011-09-18,8,0,0
2011-09-19,5,1,1
2011-09-20,9,4,1
2011-09-21,4,1,1
2011-09-22,9,3,1
2011-09-23,7,2,2
2011-09-24,11,3,3
2011-09-25,4,2,1
2011-09-26,8,1,1
2011-09-27,6,2,2
2011-09-28,17,1,1
2011-09-29,5,2,2
2011-09-30,7,2,1
2011-10-01,6,0,0
2011-10-02,6,2,2
2011-10-03,16,4,2
2011-10-04,8,1,1
2011-10-05,8,1,0
2011-10-06,9,4,0
2011-10-07,8,2,1
2011-10-08,9,3,1
2011-10-09,3,0,0
2011-10-10,11,4,3
2011-10-11,6,2,2
2011-10-12,8,2,2
2011-10-13,9,1,0
2011-10-14,4,2,1
2011-10-15,7,2,1
2011-10-16,7,3,1
2011-10-17,9,3,2
